RecordKey,SourceSheet,SourceRowNumber,RecordID,MoldCode,MoldCodeNorm,WorkDate,WorkedHours,FailureDescriptionRaw,ExistingCaseID,ExistingRequestLetterNo,ExistingCaseStartDate,ExistingCaseLastWorkDate,DateRelation,ProposedReviewClassification,ProposedNextAction,ReviewBasis
1405-تیر-287,تیر,288,287,07S,07S,1405/04/13,3,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-311,تیر,312,311,07S,07S,1405/04/14,1,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-313,تیر,314,313,07S,07S,1405/04/14,4,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-327,تیر,328,327,07S,07S,1405/04/14,3,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-328,تیر,329,328,07S,07S,1405/04/14,3,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-331,تیر,332,331,07S,07S,1405/04/14,3,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-356,تیر,357,356,07S,07S,1405/04/15,10,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-386,تیر,387,386,07S,07S,1405/04/16,6,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-393,تیر,394,393,07S,07S,1405/04/16,2.5,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-399,تیر,400,399,07S,07S,1405/04/16,2.5,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-407,تیر,408,407,07S,07S,1405/04/17,3,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-408,تیر,409,408,07S,07S,1405/04/17,9,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-409,تیر,410,409,07S,07S,1405/04/17,2,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-411,تیر,412,411,07S,07S,1405/04/17,4,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-473,تیر,474,473,07S,07S,1405/04/20,2,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-476,تیر,477,476,07S,07S,1405/04/20,2,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-478,تیر,479,478,07S,07S,1405/04/20,2,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-479,تیر,480,479,07S,07S,1405/04/20,3,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-486,تیر,487,486,07S,07S,1405/04/20,1.5,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-499,تیر,500,499,07S,07S,1405/04/21,2,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-502,تیر,503,502,07S,07S,1405/04/21,3,ساخت Top Plate Botton plate guide rod Matrix stoper,RC-1405-0007,682,1405/02/01,1405/04/21,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-163,تیر,164,163,1,1,1405/04/09,4,پیچ بریدگی قالب,RC-1405-0009,1714,1405/04/06,1405/04/31,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-169,تیر,170,169,1,1,1405/04/09,3,تعویض پین,RC-1405-0009,1714,1405/04/06,1405/04/31,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-176,تیر,177,176,1,1,1405/04/09,2.5,پیچ بریدگی قالب,RC-1405-0009,1714,1405/04/06,1405/04/31,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-206,تیر,207,206,1,1,1405/04/10,1,پیچ بریدگی قالب,RC-1405-0009,1714,1405/04/06,1405/04/31,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-210,تیر,211,210,1,1,1405/04/10,5,پیچ بریدگی قالب,RC-1405-0009,1714,1405/04/06,1405/04/31,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-211,تیر,212,211,1,1,1405/04/10,2,پیچ بریدگی قالب,RC-1405-0009,1714,1405/04/06,1405/04/31,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-212,تیر,213,212,1,1,1405/04/10,2,پیچ بریدگی قالب,RC-1405-0009,1714,1405/04/06,1405/04/31,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-213,تیر,214,213,1,1,1405/04/10,2,پیچ بریدگی قالب,RC-1405-0009,1714,1405/04/06,1405/04/31,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-281,تیر,282,281,1,1,1405/04/14,2,تعویض پین,RC-1405-0009,1714,1405/04/06,1405/04/31,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-330,تیر,331,330,1,1,1405/04/14,3,تعویض پین,RC-1405-0009,1714,1405/04/06,1405/04/31,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-مرداد-188,مرداد,189,188,1,1,1405/05/07,1,شکستن سنبه,RC-1405-0009,1714,1405/04/06,1405/04/31,AFTER_CASE_7D,NEW_OR_REOPENED_CASE_CANDIDATE,Business review required; temporal gap is too large for automatic continuation,RequestLetterNo blank; classification is analytical proposal only
1405-شهریور-318,شهریور,319,318,1,1,1405/06/17,1,اصلاح قالب,RC-1405-0010,1722,1405/06/07,1405/06/15,AFTER_CASE_2D,CONTINUATION_CANDIDATE,Business confirmation; likely continuation or delayed entry,RequestLetterNo blank; classification is analytical proposal only
1405-شهریور-327,شهریور,328,327,1,1,1405/06/17,1,ساخت سنبه جدید جهت قالب (خرابی ),RC-1405-0010,1722,1405/06/07,1405/06/15,AFTER_CASE_2D,CONTINUATION_CANDIDATE,Business confirmation; likely continuation or delayed entry,RequestLetterNo blank; classification is analytical proposal only
1405-شهریور-348,شهریور,349,348,1,1,1405/06/18,5.5,اصلاح کوبه,RC-1405-0010,1722,1405/06/07,1405/06/15,AFTER_CASE_3D,CONTINUATION_CANDIDATE,Business confirmation; likely continuation or delayed entry,RequestLetterNo blank; classification is analytical proposal only
1405-شهریور-357,شهریور,358,357,1,1,1405/06/18,3,اصلاح قالب,RC-1405-0010,1722,1405/06/07,1405/06/15,AFTER_CASE_3D,CONTINUATION_CANDIDATE,Business confirmation; likely continuation or delayed entry,RequestLetterNo blank; classification is analytical proposal only
1405-شهریور-361,شهریور,362,361,1,1,1405/06/18,3,اصلاح قالب,RC-1405-0010,1722,1405/06/07,1405/06/15,AFTER_CASE_3D,CONTINUATION_CANDIDATE,Business confirmation; likely continuation or delayed entry,RequestLetterNo blank; classification is analytical proposal only
1405-اردیبهشت-215,اردیبهشت,216,215,11S,11S,1405/02/09,1,لهیدگی,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-اردیبهشت-350,اردیبهشت,351,350,11S,11S,1405/02/15,8,لهیدگی,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-اردیبهشت-380,اردیبهشت,381,380,11S,11S,1405/02/16,1.5,لهیدگی,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-فروردین-80,فروردین,81,80,21355,21355,1405/01/16,3.5,اصلاح کفی قالب زاپاس,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-فروردین-101,فروردین,102,101,21355,21355,1405/01/17,5.5,اصلاح کفی قالب زاپاس,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-فروردین-222,فروردین,223,222,21355,21355,1405/01/23,1,قالب نو بوده که به درخواست معاونت تولید مبنی بر تست قالب,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-شهریور-288,شهریور,289,288,29087,29087,1405/06/16,2,درخواست ساخت قالب SAF جدید(قبلآ این قالب فرز کاری ، دورتراشی و پله زنی در یک اسم قالب زاپاس شده),RC-1405-0012,1005,1405/04/25,1405/06/22,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-شهریور-169,شهریور,170,169,29162,29162,1405/06/10,8,ساخت ورقگیر,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-خرداد-431,خرداد,432,431,30303,30303,1405/03/23,2,شکستن سنبه(ساخت سنبه),,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-خرداد-438,خرداد,439,438,30303,30303,1405/03/23,6.5,شکستن سنبه(ساخت سنبه),,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-خرداد-442,خرداد,443,442,30303,30303,1405/03/23,2,شکستن سنبه(ساخت سنبه),,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-خرداد-465,خرداد,466,465,30303,30303,1405/03/25,4.5,ساخت آشغال ریز پگاسوز,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-خرداد-503,خرداد,504,503,FC30278-01S,FC30278-01S,1405/03/24,2,تعویض پین,RC-1405-0015,05/د/3024,1405/03/17,1405/03/23,AFTER_CASE_1D,CONTINUATION_CANDIDATE,Business confirmation; likely continuation or delayed entry,RequestLetterNo blank; classification is analytical proposal only
1405-مرداد-408,مرداد,409,408,MC30241-02s,MC30241-02S,1405/05/21,3,سنگ زنی سنبه,RC-1405-0017,738,1405/01/08,1405/03/27,AFTER_CASE_56D,NEW_OR_REOPENED_CASE_CANDIDATE,Business review required; temporal gap is too large for automatic continuation,RequestLetterNo blank; classification is analytical proposal only
1405-شهریور-233,شهریور,234,233,MC30241-02s,MC30241-02S,1405/06/15,11,اصلاح بعد از برگشت از کروم,RC-1405-0017,738,1405/01/08,1405/03/27,AFTER_CASE_81D,NEW_OR_REOPENED_CASE_CANDIDATE,Business review required; temporal gap is too large for automatic continuation,RequestLetterNo blank; classification is analytical proposal only
1405-شهریور-264,شهریور,265,264,MC30241-02s,MC30241-02S,1405/06/16,11,اصلاح بعد از برگشت از کروم,RC-1405-0017,738,1405/01/08,1405/03/27,AFTER_CASE_82D,NEW_OR_REOPENED_CASE_CANDIDATE,Business review required; temporal gap is too large for automatic continuation,RequestLetterNo blank; classification is analytical proposal only
1405-شهریور-296,شهریور,297,296,MC30241-05s,MC30241-05S,1405/06/17,6,اصلاح بعد از برگشت از کروم,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-شهریور-298,شهریور,299,298,MC30241-05s,MC30241-05S,1405/06/17,3.5,اصلاح بعد از برگشت از کروم,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-شهریور-333,شهریور,334,333,MC30241-05s,MC30241-05S,1405/06/18,11,اصلاح بعد از برگشت از کروم,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-شهریور-369,شهریور,370,369,MC30241-05s,MC30241-05S,1405/06/21,10,اصلاح بعد از برگشت از کروم,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-مرداد-204,مرداد,205,204,MC30241-08s,MC30241-08S,1405/05/08,6,تعویض پین,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-مرداد-207,مرداد,208,207,MC30241-08s,MC30241-08S,1405/05/08,2,تعویض پین,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-مرداد-101,مرداد,102,101,MH19562-01P,MH19562-01P,1405/05/05,10,ساخت فریم جدید جهت قالب,RC-1405-0023,747 17014,1405/04/31,1405/05/08,INSIDE_CASE,SAME_CASE_CANDIDATE,Business confirmation; consider assigning to existing Case in v2,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-480,تیر,481,480,MT30158-01S,MT30158-01S,1405/04/20,1,پیچ بریدگی,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-501,تیر,502,501,MT30158-01S,MT30158-01S,1405/04/21,5,پیچ بریدگی,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-504,تیر,505,504,MT30158-01S,MT30158-01S,1405/04/21,4,پیچ بریدگی,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-505,تیر,506,505,MT30158-01S,MT30158-01S,1405/04/21,2,پیچ بریدگی,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-529,تیر,530,529,MT30158-01S,MT30158-01S,1405/04/22,4.5,پیچ بریدگی ، خرابی میل راهنما,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-538,تیر,539,538,MT30158-01S,MT30158-01S,1405/04/22,2.5,پیچ بریدگی,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-539,تیر,540,539,MT30158-01S,MT30158-01S,1405/04/22,1.5,پیچ بریدگی,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-555,تیر,556,555,MT30158-01S,MT30158-01S,1405/04/23,3,پیچ بریدگی ، خرابی میل راهنما,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-571,تیر,572,571,MT30158-01S,MT30158-01S,1405/04/23,3,پیچ بریدگی ، خرابی میل راهنما,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-572,تیر,573,572,MT30158-01S,MT30158-01S,1405/04/23,1,پیچ بریدگی ، خرابی میل راهنما,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-588,تیر,589,588,MT30158-01S,MT30158-01S,1405/04/24,2,پیچ بریدگی ، خرابی میل راهنما,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
1405-تیر-596,تیر,597,596,MT30158-01S,MT30158-01S,1405/04/24,4,پیچ بریدگی ، خرابی میل راهنما,,,,,,NEW_CASE_CANDIDATE,Create candidate Case after business review; request number is missing,RequestLetterNo blank; classification is analytical proposal only
