RuleID,Category,FieldID,RuleName,RuleDescription,Severity,ValidationType,ApplicableAssetType,ApplicableWorkType,SourceLayer,StandardLayer,Action,Status,Notes
DQ-025,Business,F011,Mold quantity as set,"For mold work, Quantity represents the number of mold sets/items requested, not internal components.",BUSINESS,Conditional business rule,قالب,,Raw,Standard,Validate,ACTIVE,A mold set normally remains Quantity=1 even if it contains multiple components.
DQ-026,Business,F011,Exclude internal components,Do not increase mold Quantity because of the number of internal mold components.,BUSINESS,Business rule,قالب,,Raw,Standard,Validate,ACTIVE,ComponentQuantity is a future separate concept.
DQ-027,DataQuality,F011,Quantity consistency,Quantity should be consistent with AssetType and WorkType.,WARNING,Cross-field validation,,,Raw,Standard,Validate / Flag,ACTIVE,Exact mappings require business approval.
DQ-028,DataQuality,F012,Requester identification,Requester should be identifiable when a formal request exists.,WARNING,Conditional requirement,,,Raw,Standard,Flag missing,ACTIVE,Future Employee/Requester Master.
DQ-029,Normalization,F012,Requester text normalization,Control spelling/spacing variants of Requester names.,NORMALIZATION,Text normalization,,,Raw,Standard,Normalize,ACTIVE,Do not replace raw text.
DQ-030,MasterData,F012,Requester master mapping,Requester should be mappable to the employee/requester master in the future.,GOVERNANCE,Reference mapping,,,Raw,Standard,Validate / Flag,ACTIVE,Future Employee Master.
DQ-031,Schema,F013,RelatedMachineCode type,RelatedMachineCode must be stored as Text.,ERROR,Data type,,,Raw,Standard,Validate,ACTIVE,"Applies to production, service, outsourcing and repair contexts."
DQ-032,MasterData,F013,Machine master mapping,RelatedMachineCode should be mappable to Machine Master.,WARNING,Reference mapping,,,Raw,Standard,Validate / Flag,ACTIVE,"Machine can be linked to mold, part or machine repair."
DQ-033,Business,F013,Related machine when applicable,"Where a record is clearly related to a machine, the relevant machine code should be captured.",WARNING,Conditional requirement,,,Raw,Standard,Flag missing,ACTIVE,Do not infer code from machine name.
DQ-034,MasterData,F014,Station master mapping,Station should be mappable to Station Master.,WARNING,Reference mapping,,,Raw,Standard,Validate / Flag,ACTIVE,Future Station Master.
DQ-035,Normalization,F014,Station naming normalization,Detect spelling/format variants of station names.,NORMALIZATION,Text normalization,,,Raw,Standard,Normalize,ACTIVE,Do not overwrite Raw.
DQ-036,MasterData,F015,Machine master mapping,Machine should be mappable to Machine Master.,WARNING,Reference mapping,,,Raw,Standard,Validate / Flag,ACTIVE,Machine name is descriptive; official code remains separate.
DQ-037,Governance,F015,Machine name is not machine code,Do not use F015 Machine as a substitute for F013 RelatedMachineCode.,GOVERNANCE,Cross-field governance,,,Raw,Standard,Flag design violation,ACTIVE,Keep descriptive name and official code conceptually separate.
DQ-038,Governance,F016,Part raw preservation,Part raw name must remain unchanged in the raw layer.,GOVERNANCE,Raw preservation,,,Raw,Standard,Preserve,ACTIVE,Standard PartName can be added separately.
DQ-039,Normalization,F016,Part name normalization,Detect variants of the same part name for standardization.,NORMALIZATION,Reference mapping,,,Raw,Standard,Normalize / Map,ACTIVE,Future Part Master.
DQ-040,Schema,F017,PartCode type,PartCode must always be stored as Text.,ERROR,Data type,,,Raw,Standard,Validate,ACTIVE,Preserve zeros and alphanumeric structure.
DQ-041,DataQuality,F017,PartCode leading zeros,Leading zeros in PartCode must not be removed.,ERROR,Format preservation,,,Raw,Standard,Validate,ACTIVE,"Treat code as identifier, not a numeric measure."
DQ-042,MasterData,F017,PartCode master mapping,PartCode should be retrievable/validated against Mold-Part Master where applicable.,GOVERNANCE,Reference mapping,,,Raw,Standard,Validate / Map,ACTIVE,Master will be supplied later.
DQ-043,Governance,F017,No PartCode guessing,System must not guess a PartCode when no valid master mapping exists.,ERROR,Reference integrity,,,Raw,Standard,Flag / Review,ACTIVE,Human review required if no mapping exists.
DQ-044,Governance,F018,Operation raw preservation,OperationDescriptionRaw must remain unchanged.,GOVERNANCE,Raw preservation,,,Raw,Standard,Preserve,ACTIVE,OperationCode is a future standard concept.
DQ-045,DataQuality,F018,Operation completeness,Flag blank or non-interpretable operation descriptions where an operation is expected.,WARNING,Completeness,,,Raw,Standard,Flag,ACTIVE,Minimum completeness threshold to be finalized.
DQ-046,Governance,F019,Process raw preservation,ProcessResultRaw must not be overwritten.,GOVERNANCE,Raw preservation,,,Raw,Standard,Preserve,ACTIVE,Create ProcessStatus separately.
DQ-047,Normalization,F019,Process status mapping,Map OK/ok to OK and NOK/NC/غیر قابل تعمیر to NOK in the processed layer.,NORMALIZATION,Controlled mapping,,,Raw,Standard,Normalize / Map,ACTIVE,This mapping was validated on 1405 data.
DQ-048,DataQuality,F019,Unknown process result,Report values outside the approved Process Result mapping.,WARNING,Controlled vocabulary,,,Raw,Validation,Flag,ACTIVE,Validated 1405 result: 0 unknowns.
DQ-049,Governance,F019,Blank process result semantics,Final standard treatment of blank Process Result must be explicitly approved.,TBD,Business decision,,,Raw,Standard,Hold / Review,ACTIVE,Possible future ProcessStatus=NOT_REPORTED.
DQ-050,DataQuality,F020,HardeningSentDate validity,HardeningSentDate must be a valid Persian date.,ERROR,Date validation,,,Raw,Standard,Validate,ACTIVE,Standard date representation will be defined in processed layer.
DQ-051,Business,F020,Hardening sequence,HardeningSentDate must respect the valid process sequence.,WARNING,Cross-field date validation,,,Raw,Standard,Validate / Flag,ACTIVE,Cross-check with subsequent hardening/chrome dates.
DQ-052,MasterData,F021,Hardening executor master,HardeningExecutor should map to Supplier/Executor Master.,WARNING,Reference mapping,,,Raw,Standard,Validate / Flag,ACTIVE,Future Supplier Master.
DQ-053,Normalization,F021,Hardening executor normalization,Detect naming variants of hardening executors.,NORMALIZATION,Text normalization,,,Raw,Standard,Normalize,ACTIVE,Do not overwrite Raw.
DQ-054,DataQuality,F022,Hardening cost validity,HardeningCost must be numeric and non-negative.,ERROR,Range,,,Raw,Standard,Validate,ACTIVE,Unit = Toman.
DQ-055,DataQuality,F023,HardeningReceivedDate validity,HardeningReceivedDate must be a valid Persian date.,ERROR,Date validation,,,Raw,Standard,Validate,ACTIVE,F023 is the first of the two Raw 'تاریخ دریافت' columns.
DQ-056,DataQuality,F023,Hardening received after sent,HardeningReceivedDate must not precede HardeningSentDate.,ERROR,Cross-field date validation,,,Raw,Standard,Validate,ACTIVE,Supports HardeningLeadTime.
DQ-057,DataQuality,F024,ChromeSentDate validity,ChromeSentDate must be a valid Persian date.,ERROR,Date validation,,,Raw,Standard,Validate,ACTIVE,
DQ-058,Business,F024,Chrome sequence,ChromeSentDate should respect the known upstream process sequence.,WARNING,Cross-field date validation,,,Raw,Standard,Validate / Flag,ACTIVE,
DQ-059,MasterData,F025,Chrome executor master,ChromeExecutor should map to Supplier/Executor Master.,WARNING,Reference mapping,,,Raw,Standard,Validate / Flag,ACTIVE,Future Supplier Master.
DQ-060,DataQuality,F026,Chrome cost validity,ChromeCost must be numeric and non-negative.,ERROR,Range,,,Raw,Standard,Validate,ACTIVE,Unit = Toman.
DQ-061,DataQuality,F027,ChromeReceivedDate validity,ChromeReceivedDate must be a valid Persian date.,ERROR,Date validation,,,Raw,Standard,Validate,ACTIVE,F027 is the second Raw 'تاریخ دریافت' column.
DQ-062,DataQuality,F027,Chrome received after sent,ChromeReceivedDate must not precede ChromeSentDate.,ERROR,Cross-field date validation,,,Raw,Standard,Validate,ACTIVE,Supports ChromeLeadTime.
DQ-063,DataQuality,F028,Month-sheet consistency,Month should match the source sheet/month context.,WARNING,Cross-field validation,,,Raw,Standard,Validate / Flag,ACTIVE,Useful for cross-year processing.
DQ-064,DataQuality,F029,WorkDate validity,WorkDate must be a valid date consistent with the workbook's target year.,ERROR,Date validation,,,Raw,Standard,Validate,ACTIVE,
DQ-065,DataQuality,F030,WorkShift format,WorkShift should be interpretable as a time range when populated.,WARNING,Pattern validation,,,Raw,Standard,Validate / Parse,ACTIVE,Example source pattern: 6:00الی14:00.
DQ-066,DataQuality,F031,WorkedMinutes validity,WorkedMinutes must be numeric and non-negative.,ERROR,Range,,,Raw,Standard,Validate,ACTIVE,Unit = Minute.
DQ-067,DataQuality,F032,WorkedHours validity,WorkedHours must be numeric and non-negative.,ERROR,Range,,,Raw,Standard,Validate,ACTIVE,Unit = Hour.
DQ-068,CrossField,F031/F032,Minutes-hours consistency,Check the consistency of WorkedMinutes and WorkedHours when both are available.,WARNING,Cross-field numeric validation,,,Raw,Standard,Validate / Flag,ACTIVE,Do not overwrite raw values.
DQ-069,Governance,F032,WorkedHours is not record detector,WorkedHours must never be used as the basis for operational-record detection.,GOVERNANCE,Structural logic,,,Raw,Validation,Enforce,ACTIVE,F001 remains the record detector.
DQ-070,Business,F033,Leave separate from worked time,OperatorLeave must be analytically separate from WorkedHours.,BUSINESS,Cross-field business rule,,,Raw,Standard,Validate,ACTIVE,Leave affects available labor time.
DQ-071,DataQuality,F033,OperatorLeave interpretability,OperatorLeave must be interpretable according to its approved source convention.,WARNING,Type/unit validation,,,Raw,Standard,Validate / Flag,ACTIVE,Exact unit/meaning should be preserved from source until finalized.
DQ-072,DataQuality,F034,Leave hours validity,OperatorLeaveHours must be numeric and non-negative.,ERROR,Range,,,Raw,Standard,Validate,ACTIVE,
DQ-073,Business,F034,Leave not added to worked time,OperatorLeaveHours must not be added to WorkedHours.,ERROR,Cross-field business rule,,,Raw,Standard,Validate,ACTIVE,
DQ-074,CrossField,F033/F034,Leave cross-check,"Where both leave fields are used, their relationship should be checked.",WARNING,Cross-field validation,,,Raw,Standard,Validate / Flag,ACTIVE,Exact relationship depends on source convention.
DQ-075,Governance,F035,Notes raw preservation,Notes must remain unchanged in Raw.,GOVERNANCE,Raw preservation,,,Raw,Standard,Preserve,ACTIVE,Structured extraction will be future-only.
DQ-076,Future,F035,Notes structured extraction,Potential date/amount/reason fields in Notes may be extracted later into structured fields.,BUSINESS,Text parsing,,,Raw,Standard,Future extraction,ACTIVE,"Examples: leave reason, leave date, leave amount, delay reason."
DQ-077,Governance,F036,DamagedParts raw preservation,DamagedParts raw data must remain unchanged.,GOVERNANCE,Raw preservation,,,Raw,Standard,Preserve,ACTIVE,Exact business format still requires confirmation.
DQ-078,Future,F036,DamagedParts master mapping,DamagedParts should be connectable to Part Master when the business meaning is finalized.,BUSINESS,Reference mapping,,,Raw,Standard,Future map,ACTIVE,"Could contain names, counts or both; TBD."
DQ-079,Governance,F037,Failure cause raw preservation,RecordedFailureCause must remain unchanged in Raw.,GOVERNANCE,Raw preservation,,,Raw,Standard,Preserve,ACTIVE,
DQ-080,Normalization,F037,Failure cause normalization,Equivalent failure-cause entries should be standardizable in a future controlled vocabulary.,NORMALIZATION,Reference mapping,,,Raw,Standard,Future normalize,ACTIVE,Supports Pareto/5Why/FMEA.
DQ-081,Governance,F038,Date3 raw preservation,F038 Raw value must remain unchanged until its business meaning is confirmed.,GOVERNANCE,Raw preservation,,,Raw,Standard,Preserve,ACTIVE,Observed values can include date/time or time ranges.
DQ-082,DataQuality,F038,Date3 type detection,"Detect whether F038 contains date, datetime or time-range content.",WARNING,Pattern/type detection,,,Raw,Validation,Classify / Flag,ACTIVE,StandardField name remains provisional.
DQ-083,Governance,F039,Approver master mapping,Approver should be traceable to the relevant employee/approver master.,GOVERNANCE,Reference mapping,,,Raw,Standard,Validate / Map,ACTIVE,Important for MDR traceability.
DQ-084,DataQuality,F040,Repair delivery/start date validity,F040 must be a valid Persian date when populated.,ERROR,Date validation,,,Raw,Standard,Validate,ACTIVE,Meaning includes repair delivery or production start.
DQ-085,DataQuality,F041,Mold delivery date validity,F041 must be a valid Persian date when populated.,ERROR,Date validation,قالب,,Raw,Standard,Validate,ACTIVE,
DQ-086,Business,F041,Mold delivery traceability,Mold delivery to production should be traceable to the mold approval/handover process when applicable.,BUSINESS,Process traceability,قالب,,Raw,Standard,Validate / Link,ACTIVE,Related to Mold Approval/Handover forms.
DQ-087,Structural,F042,Approval form schema variation,Presence/absence of F042 across sheets must be tracked as schema variation.,STRUCTURAL,Schema monitoring,,,Raw,Validation,Report,ACTIVE,Observed in شهریور; not universal.
DQ-088,Normalization,F042,Approval form status normalization,Normalize known F042 status variants without overwriting Raw.,NORMALIZATION,Controlled mapping,,,Raw,Standard,Normalize,ACTIVE,Exact approved mapping can evolve.
DQ-089,DataQuality,F043,Unit price validity,UnitPrice must be numeric and non-negative.,ERROR,Range,,,Raw,Standard,Validate,ACTIVE,Unit = Toman.
DQ-090,DataQuality,F044,Work price validity,WorkPrice must be numeric and non-negative.,ERROR,Range,,,Raw,Standard,Validate,ACTIVE,Unit = Toman.
DQ-091,CrossField,F044,Price relationship check,"Where meaningful, WorkPrice should be checked against Quantity and UnitPrice without assuming an exact formula.",WARNING,Cross-field numeric validation,,,Raw,Standard,Validate / Flag,ACTIVE,Do not auto-correct.
DQ-092,DataQuality,F045,Lathe downtime minutes validity,LatheMachineDowntimeMinutes must be numeric and non-negative.,ERROR,Range,,,Raw,Standard,Validate,ACTIVE,Applies to mold-shop lathe/machine downtime.
DQ-093,DataQuality,F046,Lathe downtime hours validity,LatheMachineDowntimeHours must be numeric and non-negative.,ERROR,Range,,,Raw,Standard,Validate,ACTIVE,Applies to mold-shop lathe/machine downtime.
DQ-094,CrossField,F045/F046,Lathe downtime consistency,Check consistency between downtime minutes and downtime hours.,WARNING,Cross-field numeric validation,,,Raw,Standard,Validate / Flag,ACTIVE,Do not overwrite raw values.
DQ-095,Structural,F047,Unnamed source field,Track unnamed column as a schema issue until business review.,STRUCTURAL,Schema monitoring,,,Raw,Validation,Report,ACTIVE,Do not remove from Raw automatically.
DQ-096,Governance,F047,Unnamed field removal control,Do not remove or repurpose F047 without business review.,GOVERNANCE,Schema governance,,,Raw,Standard,Hold / Review,ACTIVE,
DQ-097,Governance,Multiple,Raw preservation,Raw source data must never be overwritten by the standardization process.,GOVERNANCE,Architecture,,,Raw,Standard,Enforce,ACTIVE,Core project principle.
DQ-098,Governance,Multiple,Standard-field independence,Standard field names must be independent of Raw header wording.,GOVERNANCE,Architecture,,,Raw,Standard,Enforce,ACTIVE,Supports schema drift and multi-year integration.
DQ-099,Governance,Multiple,Master data authority,Approved Master Data is the reference for standard codes/names where available.,GOVERNANCE,Reference architecture,,,Raw,Standard,Validate / Map,ACTIVE,
DQ-100,Business,F008,MoldCode/ProductTechnicalNo separation,MoldCode and ProductTechnicalNo are independent concepts.,BUSINESS,Entity design,قالب,,Raw,Standard,Enforce design,ACTIVE,Do not store ProductTechnicalNo in MoldCode.
DQ-101,Governance,F008,Product-to-mold traceability,The relationship ProductTechnicalNo ↔ MoldCode must be traceable.,GOVERNANCE,Relationship mapping,قالب,,Raw,Standard,Validate / Link,ACTIVE,Implemented through future mold master/handover records.
DQ-102,Governance,F017,Mold-Part mapping authority,Mold-Part Mapping is a reference source for PartCode where applicable.,GOVERNANCE,Reference mapping,قالب/قطعه,,Raw,Standard,Validate / Map,ACTIVE,Master files will be supplied later.
DQ-103,Governance,F007,SubGroup broader than production units,F007 SubGroup must not be limited to production units.,GOVERNANCE,Business taxonomy,,,Raw,Standard,Enforce taxonomy,ACTIVE,May include service and outsourcing/project domains.
DQ-104,Governance,Future,Independent mold installation location,MoldInstallationLocation must be modeled separately from SubGroup.,GOVERNANCE,Entity design,قالب,,Standard,Standard,Enforce design,ACTIVE,Future form/master field.
DQ-105,Governance,F013/F015,Machine master relationship,RelatedMachineCode and Machine should be linkable to Machine Master while retaining distinct meanings.,GOVERNANCE,Reference relationship,,,Raw,Standard,Validate / Link,ACTIVE,F013 = code; F015 = descriptive machine field.
DQ-106,Governance,F006/F012,Requesting unit vs requester,RequestingUnit and Requester must remain separate concepts.,GOVERNANCE,Entity design,,,Raw,Standard,Enforce design,ACTIVE,Unit vs person.
DQ-107,Governance,F001,RecordID not globally unique,RecordID alone must not be assumed globally unique across months/years.,GOVERNANCE,Key design,,,Raw,Standard,Enforce design,ACTIVE,
DQ-108,Governance,F001,Standard RecordKey,A cross-year RecordKey must be generated using approved period context plus RecordID.,GOVERNANCE,Key generation,,,Raw,Standard,Generate,ACTIVE,Recommended structure: Year + Period + RecordID.
DQ-109,Governance,Forms,Forms use standardized data,MDR/Approval forms should be populated from standardized data rather than retyping Raw values.,GOVERNANCE,Form integration,,,Standard,Forms,Generate / Populate,ACTIVE,Supports future automation.
DQ-110,Governance,Outsourcing,Outsourcing model integration,Outsourcing projects should use a dedicated future data model but remain linkable to the core project model.,GOVERNANCE,Architecture,,,Standard,Standard,Design / Integrate,ACTIVE,Dedicated outsourcing form planned for future.
DQ-111,Business,ApprovalForm,New mold approval trigger,A new-mold case becomes eligible for the approval form when the work is completed and F041 MoldDeliveryToProductionDate is recorded.,BUSINESS,Workflow,,قالب نو,Standard,Forms,Set ApprovalFormRequired=YES,ACTIVE,No WorkedHours threshold applies to new molds.
DQ-112,Business,ApprovalForm,Repair mold approval threshold,"A repair-mold case becomes eligible for automatic approval-form generation when total WorkedHours for the RepairCase exceeds 20 hours, the repair is complete, and F041 is recorded.",BUSINESS,Workflow,,قالب تعمیری,Standard,Forms,Set ApprovalFormRequired=YES,ACTIVE,"Threshold applies to the aggregated RepairCase, not one row."
DQ-113,Business,ApprovalForm,Repair case hour aggregation,WorkedHours must be aggregated at RepairCase level for the 20-hour approval threshold.,BUSINESS,Aggregation,,قالب تعمیری,Standard,Forms,Calculate SUM(WorkedHours),ACTIVE,Temporary case key may use MoldCode + RequestLetterNo; future RepairCaseID is preferred.
DQ-114,Business,ApprovalForm,Approval form required flag,"When all applicable trigger conditions are met, ApprovalFormRequired must be set to YES.",BUSINESS,Workflow,,,Standard,Forms,Set flag,ACTIVE,
DQ-115,Governance,ApprovalForm,Standardized data source,Generated approval forms must be populated from Standardized/Master data rather than manually retyped Raw values.,GOVERNANCE,Form integration,,,Standard,Forms,Generate from Standard,ACTIVE,Supports automation and traceability.
DQ-116,Governance,ApprovalForm,Form identity and version,Each generated approval form must have ApprovalFormID and Version.,GOVERNANCE,Document control,,,Standard,MDR,Assign ID/version,ACTIVE,Supports controlled document history.
DQ-117,Governance,ApprovalForm,Duplicate generation prevention,The same approval-form revision must not be generated more than once unless a new revision is required.,GOVERNANCE,Workflow control,,,Standard,MDR,Check existing revision before generation,ACTIVE,
DQ-118,Governance,ApprovalForm,MDR traceability,The final PDF approval form must be stored in MDR and linked back to its source Mold/Repair/Request context.,GOVERNANCE,Document traceability,,,Standard,MDR,Store and link,ACTIVE,
DQ-119,Governance,ApprovalForm,Revision on source-data change,A change to material source/standard data after form generation must support creation of a new controlled form revision.,GOVERNANCE,Revision control,,,Standard,MDR,Create revision,ACTIVE,Do not silently overwrite a signed/printed record.
DQ-120,Business,ApprovalForm,Repair <=20h rule,A repair-mold case at or below 20 aggregated WorkedHours is not automatically eligible under the hour-threshold rule.,BUSINESS,Conditional workflow,,قالب تعمیری,Standard,Forms,No automatic trigger from DQ-112,ACTIVE,Other business reasons may still require a form later.
DQ-122,Business,ApprovalForm,New mold no-hour threshold,New molds do not require a 20-hour minimum to trigger the approval form.,BUSINESS,Workflow,,قالب نو,Standard,Forms,Bypass hour threshold,ACTIVE,
DQ-124,Governance,ApprovalForm,PDF generation source,The PDF generator must use approved Standard fields and Master data.,GOVERNANCE,Form integration,,,Standard,Forms,Generate,ACTIVE,
DQ-125,Governance,ApprovalForm,Approval form identifier,Every generated form must receive a unique ApprovalFormID and controlled version.,GOVERNANCE,Document control,,,Standard,MDR,Generate ID/version,ACTIVE,
DQ-126,Governance,ApprovalForm,No repeated generation,Do not regenerate an unchanged form revision.,GOVERNANCE,Workflow control,,,Standard,MDR,Skip duplicate generation,ACTIVE,
DQ-127,Governance,ApprovalForm,PDF storage and print,"Generated approval PDF must be saved, registered in MDR, and made available for printing.",GOVERNANCE,Document workflow,,,Standard,MDR,Save/register/print,ACTIVE,Printing status should be separately tracked.
DQ-128,Governance,ApprovalForm,Revision after changes,"When a material field changes after a form is generated, create a new Revision rather than modifying the prior controlled record.",GOVERNANCE,Revision control,,,Standard,MDR,Create revision,ACTIVE,
