FieldID,RawFieldName,StandardFieldName,DataType,BusinessMeaning,RequiredStatus,UnitOrFormat,RuleIDs,Layer,PowerBIUsage,Notes
F023,تاریخ دریافت,HardeningReceivedDate,Text/Date,تاریخ دریافت از سختکاری,Conditional,Persian date,DQ-055; DQ-056,Raw + Standard,Hardening lead time,Raw header duplicated; standardized name resolves context.
F024,تاریخ ارسال به کروم,ChromeSentDate,Text/Date,تاریخ ارسال به کروم,Conditional,Persian date,DQ-057; DQ-058,Raw + Standard,Chrome lead time,
F025,مجری کروم,ChromeExecutor,Text,شخص/شرکت مجری کروم,Conditional,Supplier/executor,DQ-059,Raw + Standard + Master,Supplier/outsource analysis,Future Supplier Master.
F026,هزینه کروم تومان,ChromeCost,Numeric,هزینه عملیات کروم,Conditional,Toman,DQ-060,Raw + Standard,External process cost,
F027,تاریخ دریافت,ChromeReceivedDate,Text/Date,تاریخ دریافت از کروم,Conditional,Persian date,DQ-061; DQ-062,Raw + Standard,Chrome lead time,Raw header duplicated; standardized name resolves context.
F028,ماه,Month,Text/Category,ماه مرتبط با رکورد,Conditional,Persian month,DQ-063,Raw + Standard,Time-series analysis,Should align with source sheet context.
F029,تاریخ,WorkDate,Text/Date,تاریخ انجام/ثبت فعالیت,Conditional,Persian date,DQ-064,Raw + Standard,Time-series analysis,
F030,ساعت کاری,WorkShift,Text,بازه زمانی/شیفت کاری ثبت‌شده,Conditional,HH:MMالیHH:MM,DQ-065,Raw + Standard,Labor/shift analysis,Future parsed ShiftStartTime/ShiftEndTime.
F031,مقدار دقیقه کار شده,WorkedMinutes,Numeric,مدت کار ثبت‌شده بر حسب دقیقه,Conditional,Minute,DQ-066; DQ-068,Raw + Standard,Worked-time KPI,
F032,مقدار ساعت کار شده,WorkedHours,Numeric,مدت کار ثبت‌شده بر حسب ساعت,Conditional,Hour,DQ-067; DQ-068; DQ-069,Raw + Standard,"Worked-time, MTTR, productivity",Never use this field to detect records.
F033,مرخصی اپراتور,OperatorLeave,Numeric/Text,ثبت مرخصی اپراتور که بر زمان در دسترس عملیات اثر می‌گذارد,Conditional,Source-defined value,DQ-070; DQ-071; DQ-074,Raw + Standard,Available labor time / delay analysis,Source semantics/units require finalization.
F034,ساعت مرخصی اپراتور,OperatorLeaveHours,Numeric,مدت مرخصی اپراتور به ساعت,Conditional,Hour,DQ-072; DQ-073; DQ-074,Raw + Standard,Available labor time / delay analysis,Must remain separate from WorkedHours.
F035,توضیحات,Notes,Long Text,توضیحات تکمیلی شامل علت/مقدار/تاریخ مرخصی یا سایر عوامل توقف و تأخیر,Optional,Free text,DQ-075; DQ-076,Raw + Future structured,Delay/exception context,Future structured extraction from Notes; Raw remains unchanged.
F036,قطعات خراب شده,DamagedParts,Text/Numeric,اطلاعات قطعات آسیب‌دیده مرتبط با فعالیت,Conditional,TBD,DQ-077; DQ-078,Raw + Future Master,Damage/failure analysis,Exact structure (name/count/both) requires later confirmation.
F037,علت خرابی ثبت شده2,RecordedFailureCause,Text,علت خرابی ثبت‌شده,Conditional,Controlled/freetext,DQ-079; DQ-080,Raw + Future Master,Pareto/5Why/FMEA,Future Failure Cause Master.
F038,تاریخ3,AdditionalProcessDateTime,Text/DateTime/TimeRange,فیلد زمانی تکمیلی با معنای فرآیندی هنوز در حال تثبیت,Conditional,Date/time/time-range,DQ-081; DQ-082,Raw + Validation,Process timeline,Observed values may be time ranges; do not force date semantics yet.
F039,تایید کننده,Approver,Text,شخص تأییدکننده فعالیت/نتیجه/تحویل,Conditional,Name/ID,DQ-083,Raw + Standard + Master,Approval/MDR traceability,Future Employee/Approver Master.
F040,تاریخ تحویل تعمیر/استارت تولید,RepairDeliveryOrProductionStartDate,Text/Date,تاریخ تحویل مورد تعمیر/ساخت یا شروع تولید,Conditional,Persian date,DQ-084,Raw + Standard,Lead-time/completion KPI,
F041,تاریخ تحویل قالب به تولید,MoldDeliveryToProductionDate,Text/Date,تاریخ تحویل قالب به واحد تولید,Conditional,Persian date,DQ-085; DQ-086,Raw + Standard + MDR,Mold turnaround/approval traceability,Connect to Mold Approval/Handover process.
F042,فرم صدور تایید,ApprovalFormStatus,Text/Category,وضعیت فرم صدور تأیید در شیت‌هایی که این فیلد وجود دارد,Conditional / Schema variant,Status,DQ-087; DQ-088,Raw + Standard + MDR,Approval status,Currently observed as a non-universal column; keep separate from ProcessResult.
F043,فی (تومان),UnitPrice,Numeric,قیمت واحد ثبت‌شده برای کار/مورد,Conditional,Toman,DQ-089,Raw + Standard,Cost analysis,
F044,قیمت کار شده (تومان),WorkPrice,Numeric,قیمت/هزینه کار انجام‌شده,Conditional,Toman,DQ-090; DQ-091,Raw + Standard,Cost KPI,Do not assume exact Quantity×UnitPrice formula.
F045,دقیقه خرابی دستگاه تراشکاری,LatheMachineDowntimeMinutes,Numeric,مدت خرابی دستگاه‌های تراشکاری در واحد قالب‌سازی که موجب توقف/تأخیر فرآیند می‌شود,Conditional,Minute,DQ-092; DQ-094,Raw + Standard,Machine downtime / project delay,Operational delay driver.
F046,ساعت خرابی دستگاه تراشکاری,LatheMachineDowntimeHours,Numeric,مدت خرابی دستگاه‌های تراشکاری به ساعت,Conditional,Hour,DQ-093; DQ-094,Raw + Standard,Machine downtime / project delay,Operational delay driver.
F047,,UnnamedSourceField,Unknown,ستون منبع بدون عنوان مشخص,Structural/TBD,Unknown,DQ-095; DQ-096,Raw + Validation,Schema monitoring,Do not delete or repurpose before business review.
